,year,total,open,closed,publisher,other_platform,publisher_only,both,other_platform_only
0,2011,3731155,1022514,2708641,762687,568325,454189,308498,348765
1,2012,3891836,1183693,2708143,904990,658219,525474,379516,377737
2,2013,4266431,1328199,2938232,1022958,748458,579741,443217,407380
3,2014,4397515,1486359,2911156,1171583,839002,647357,524226,429667
4,2015,4573016,1704932,2868084,1378001,923011,781921,596080,442090
5,2016,4977976,1961787,3016189,1606140,1024608,937179,668961,474307
6,2017,5385702,2219642,3166060,1836088,1143631,1076011,760077,514308
7,2018,5784077,2525373,3258704,2120217,1249109,1276264,843953,543953
8,2019,6328400,2927920,3400480,2493259,1301534,1626386,866873,569334
9,2020,7096562,3497161,3599401,3014839,1456803,2040358,974481,628593
